spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,file_name,label
1942.4850534774878,791023.550040353,2275.2527344075384,558203.9599631175,4293.36261608347,5066738.322380469,0.07582984334686876,0.002100319184829404,[89.10290948],-98.31802,8578.612,108.62494,1753.2832,13.038609,853.47687,17.246113,673.90955,5.941044,307.3486,11.234578,207.16962,-4.6325693,159.75868,0.78692687,184.54832,-5.699022,169.92593,0.8613172,129.83478,-2.06767,104.90851,-0.9693487,90.16166,-3.9128528,79.2173,-0.5033527,83.341225,-1.9055431,75.41522,-1.6852157,75.334076,-5.4502444,62.476868,0.18663184,86.706635,-5.1228423,94.92146,"005 Justin Bieber - Peaches (feat. Daniel Caesar, Giveon).mp3",
2569.02306883604,961499.5362317304,2696.426580096814,300197.2098298611,5691.649908768503,4139534.02541084,0.09951857182017544,0.004460343980791282,[135.99917763],-53.52706,7541.4077,79.2846,1285.8708,10.070908,680.91077,18.073187,449.48047,8.059417,356.80005,5.123248,306.5765,-3.4405665,258.73953,2.9915187,270.17752,-7.108067,188.58838,4.1083875,156.40337,-2.3470798,135.9149,0.30571324,112.432846,-5.3376822,123.583305,0.10293403,125.12036,-2.4553726,105.68318,0.49160665,109.01248,-4.301271,93.738144,0.13662116,102.788864,-5.3747725,100.163734,"005 개코,Ourealgoat (아우릴고트),SINCE,안병웅,Tabber,조광일 - Wake Up (Prod. 코드 쿤스트).mp3",
1890.1039593601674,1014185.1212444993,2254.575026692087,318775.5693288831,3993.1167755783717,4548174.068765646,0.07596899659253946,0.004930135659651879,[135.99917763],-128.07463,15173.2,104.78335,1511.9418,12.699683,328.45532,19.257107,250.89044,5.561,259.5637,4.25012,89.10176,-2.637632,115.289955,4.9705067,127.06095,-8.222577,135.85335,6.3648314,90.90376,-4.289831,78.09094,-3.6019216,98.42092,-4.724139,78.38965,-4.433059,79.394615,-8.20607,93.57543,0.02649088,82.10044,-12.156314,101.02324,-6.2723613,93.55232,-2.6056676,89.26098,005. 임영웅 - 사랑은 늘 도망가.mp3,
2669.063708102763,662180.2617142957,2744.5511233456687,173915.1265078092,5727.73722144406,3044024.1025900855,0.10722156330720911,0.003603194725607688,[123.046875],-19.994696,5952.114,78.60166,738.3091,-0.7035042,427.98398,16.310486,252.86392,4.143705,152.7499,-0.48769826,235.67557,7.0952206,127.498856,2.4903636,170.42642,4.3951335,114.40321,6.0206957,116.4528,-2.2700348,94.23991,8.209153,87.37573,4.052171,94.21389,7.0078897,86.36027,-1.5727572,65.1123,3.3858163,78.034645,-3.5340312,90.83988,3.5268774,69.5705,1.5623147,78.99465,006 브레이브걸스 (Brave Girls) - 롤린 (Rollin').mp3,
3038.3627518943185,803482.7016688866,2862.192393233181,191879.77496224633,6544.7195584656765,3035283.62060648,0.1314426315907169,0.006286302092058002,[117.45383523],-36.250328,11833.824,60.599518,979.8416,-1.6319106,454.06686,11.102518,348.2915,2.031874,177.8436,3.6924953,222.09589,3.3630538,135.56067,-1.2037871,166.91968,3.6143384,141.13954,3.0209565,115.15299,-5.3416877,88.48824,2.3351014,87.24969,-3.4691122,113.41816,5.201288,109.88103,-2.2709765,115.23323,7.1658535,118.87214,1.4150472,98.324776,3.1206887,108.692116,2.0285673,118.10318,006. IVE (아이브) - ELEVEN.mp3,
1890.0467221345095,1013886.1800930257,2254.586190809465,318746.2983799182,3993.2218155936157,4547330.504717455,0.07597436745277379,0.004930010493863513,[135.99917763],-128.07283,15172.435,104.78086,1511.6205,12.700976,328.35184,19.257412,250.81929,5.5632343,259.6325,4.248776,89.13654,-2.6367967,115.29048,4.9697804,127.131256,-8.221317,135.84004,6.3670554,90.93854,-4.292769,78.08783,-3.6024907,98.42381,-4.72231,78.38388,-4.4323435,79.356766,-8.2061615,93.57093,0.024540184,82.12219,-12.156977,101.03742,-6.2721777,93.55746,-2.6048193,89.27233,007 임영웅 - 사랑은 늘 도망가.mp3,
2540.7657941563043,667375.9193527921,2558.4762121797507,255811.067561847,5384.766680068686,3319433.3287034836,0.12241264258175534,0.0032764940210250433,[95.703125],-29.351315,13507.215,85.02061,948.3901,-3.693073,259.50607,10.397087,203.84358,-5.1037316,137.8345,3.5452442,156.0746,6.225732,105.772896,-3.4368715,157.81873,-9.354757,85.79895,2.4774852,97.99039,-5.998311,86.270546,-7.477625,78.0271,-9.001907,94.435646,1.5477098,84.0051,-8.22232,77.80774,-3.4511771,85.11987,-5.737602,93.47077,-2.2943702,84.78649,-2.4684472,86.06567,007-에일리-노래가 늘었어.mp3,
2171.6312671533024,970855.5101788673,2415.060649614208,434046.36040084733,4721.957575640921,4996789.302569687,0.08828902182502789,0.0040167499961765545,[107.66601562],-99.81938,10472.111,94.67562,1489.6852,4.7486567,690.18164,9.818007,381.30658,5.3402114,338.40433,5.772519,260.80447,-4.453861,199.00195,1.2925457,208.73761,-6.2921667,164.08899,1.5914418,158.67111,-3.8118331,132.63104,-1.4160398,109.27952,-4.055398,105.117134,-0.5828313,91.81727,-4.4818816,80.27183,-1.2000172,82.73831,-6.499967,74.5363,-0.9472531,70.47625,-3.3986528,88.99483,"007. sokodomo - 회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom).mp3",
2694.051218812618,895763.4116775496,2482.9941108837565,177018.39584346613,5302.4247826941355,2637124.5712833093,0.13802249949729453,0.007252413906623762,[143.5546875],0.43766642,6890.119,73.19407,1257.5648,-11.876335,679.8036,23.033844,430.71896,-3.4936552,206.24077,10.516375,218.16231,6.1400204,151.35298,1.3002825,149.3812,5.359988,128.52191,7.502646,115.97682,-4.235756,104.9696,4.635048,83.326195,-0.90780133,86.12462,4.6688795,82.94259,-0.4694529,72.6877,3.6462553,69.97087,-0.6489039,77.64629,3.8665922,80.88795,-0.8581629,81.930824,008 aespa - Savage.mp3,
1376.6375965330176,761579.9562537175,1877.6445445127088,375334.49346472195,2692.1272758730834,4099765.5251060883,0.0517303133455256,0.0020721106684804787,[135.99917763],-166.94606,13517.917,117.47234,1427.469,20.563965,629.60535,35.83575,324.69968,10.721709,253.86264,8.647605,144.70921,5.034824,130.31082,4.3874464,98.09103,-4.574168,119.24686,-2.4581997,92.37545,-8.609898,101.45388,-3.4651291,115.95796,-5.172329,93.509674,-3.9660506,81.91282,-3.7469518,82.270515,-5.2635407,80.28524,-5.977803,88.67438,-1.763218,82.063,-8.681763,112.30484,008-이적-걱정말아요 그대.mp3,
